sku,brand,original_name,display_title,product_type,volume,collection,fragrance,stock,aging,trade_price,has_image,has_description,tier,evidence_A,evidence_B,evidence_C,fragrance_A,independent_sources,independent_A,independent_bestseller,independent_ru_retail,promotion_rank,high_stock_push,promotion_blocked,rationale
545445222,AROMAgroup,Розовый перец катридж AG 110 мл.,Розовый перец,machine_cartridge,110 мл,,Розовый перец,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
323244211,AROMAgroup,Игристая малина картридж AG 110 мл.,Игристая малина,machine_cartridge,110 мл,,Игристая малина,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
454569087,AROMAgroup,Бали картридж AG 110 мл.,Бали,machine_cartridge,110 мл,,Бали,1,unknown,null,True,True,NORMAL,0,1,0,0,0,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
7c1b6caa-5341-11ed-8c25-7c8bca00854e,AROMAgroup,Пина колада картридж AG 110 мл.,Пина колада,machine_cartridge,110 мл,,Пина колада,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
3246675,AROMAgroup,Розовое просекко картридж AG 150 мл.,Розовое просекко,machine_cartridge,150 мл,,Розовое просекко,1,unknown,null,True,True,NORMAL,0,2,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020445,VINOVE,Ароматизатор для автомобиля / VINOVE EVOLUTION EXCELLENCE/ ROME/ РИМ,Ароматизатор для автомобиля,car_fragrance,,VINOVE EVOLUTION EXCELLENCE,ROME,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020438,VINOVE,Ароматизатор для автомобиля / VINOVE LEATHER ESPRESSO /коричневая кожа/ INDIANAPOLIS/ ИНДИАНАПОЛИС,Ароматизатор для автомобиля,car_fragrance,,VINOVE LEATHER ESPRESSO,INDIANAPOLIS,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020434,VINOVE,Ароматизатор для автомобиля / VINOVE LEATHER IVORY /светлая кожа/ MONZA/ МОНЦА,Ароматизатор для автомобиля,car_fragrance,,VINOVE LEATHER IVORY,MONZA,3,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,0,,True,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно. Остаток ≥3: отдельная очередь high-stock push; остаток не повышает силу спроса."
DV250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками DOLCE VANIGLIA / Сладкая ваниль, 250 мл",DOLCE VANIGLIA,reed_diffuser,250 мл,,DOLCE VANIGLIA,2,unknown,null,True,True,STRONG,0,5,0,0,4,0,0,2,11,False,False,Есть прямой сигнал для аромата плюс независимая представленность либо два независимых российских продавца. Не статус бестселлера VOZDOOH.
FF250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками FOGLIE DI FICO / Листья инжира, 250 мл",FOGLIE DI FICO,reed_diffuser,250 мл,,FOGLIE DI FICO,2,unknown,null,True,True,NORMAL,0,3,0,0,3,0,0,1,16,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
II250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками INCENSO IMPERIALE / Императорские благовония, 250 мл",INCENSO IMPERIALE,reed_diffuser,250 мл,,INCENSO IMPERIALE,1,unknown,null,True,True,NORMAL,0,3,0,0,3,0,0,1,23,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
VM250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками VENTO DI MARE / Морской ветер, 250 мл",VENTO DI MARE,reed_diffuser,250 мл,,VENTO DI MARE,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
FLC250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками FIORE / Цветок Luxury collection, 250 мл",FIORE,reed_diffuser,250 мл,Luxury collection,FIORE,1,unknown,null,True,True,NORMAL,0,3,0,0,3,0,0,1,22,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
ORO500RTFU,TEATRO Fragranze Uniche,"TEATRO Рефилл для диффузора ORO / Золото Luxury collection, 500 мл",ORO,diffuser_refill,500 мл,Luxury collection,ORO,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
BAST500NTFU,TEATRO Fragranze Uniche,TEATRO Бокс №12 Черные бамбуковые палочки 36см для диффузора 500мл,Бокс №12 Черные бамбуковые палочки 36см для а,diffuser_sticks,,,,8,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,True,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Остаток ≥3: отдельная очередь high-stock push; остаток не повышает силу спроса.
33421956,AROMAgroup,Кофе с ликером картридж AG 150мл пласт.,Кофе с ликером,machine_cartridge,150 мл,,Кофе с ликером,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
382873,Castelbel,Бабочки / BUTTERFLIES диффузор 250 мл,Бабочки,reed_diffuser,250 мл,,BUTTERFLIES,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
382784,Castelbel,Кокос / Coconut ароматическое саше,Кокос,scented_sachet,,,Coconut,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
